recordid,occupation,open,operatorinfo,freecapacity,description,lastupdate,name,openingtimedescription,type,categorie,totalcapacity,freeparking
"e132d2f41acd484f0c47b9a387f384897fbdcf6e",54,1,"Mobiliteitsbedrijf Gent",316,"? parkeergarage Sint-Pietersplein in Gent","2022-12-07T14:38:50+01:00","Sint-Pietersplein","24/7","carPark","parking in LEZ",698,0
"710136170811ed82eae23dd670d3b5e43af13aee",16,1,"Mobiliteitsbedrijf Gent",420,"Bovengrondse parkeergarage Ledeberg in Gent","2022-12-07T14:38:50+01:00","Ledeberg","24/7","offStreetParkingGround","parking buiten LEZ",500,0
"931a0cc236c2122b365f8c10b53461add07307f1",4,1,"Mobiliteitsbedrijf Gent",324,"Bovengrondse parkeergarage Het Getouw in Gent","2022-12-07T14:38:50+01:00","Getouw","24/7","offStreetParkingGround","parking buiten LEZ",340,0
"4f29dca5e16b2f1a975c2a2d048c030c134469bd",25,1,"Skidata",149,"Bovengrondse parkeergarage NMBS Dampoort in Gent","2022-12-07T14:36:02+01:00","B-Park Dampoort","24/7","offStreetParkingGround","parking buiten LEZ",200,0
"25794f9c226c455e4cbdcea0c111f93d18c7345d",3,1,"Indigo",532,"Ondergrondse parkeergarage Dok noord in Gent","2022-12-07T14:38:23+01:00","Dok noord","24/7","offStreetParkingGround","parking buiten LEZ",550,0
"545f25ce5e395d63ecca336a41eaf648eef79eff",62,1,"Mobiliteitsbedrijf Gent",227,"Ondergrondse parkeergarage Vrijdagmarkt in Gent","2022-12-07T14:38:50+01:00","Vrijdagmarkt","24/7","carPark","parking in LEZ",605,0
"10ea294ccf529420806664d1f361d2e11f0b549a",75,1,"Mobiliteitsbedrijf Gent",75,"Ondergrondse parkeergarage Sint-Michiels in Gent","2022-12-07T14:38:50+01:00","Sint-Michiels","24/7","carPark","parking in LEZ",304,0
"7e6c8b25c03f84b8f099687432bc3bd9113131c0",48,1,"Mobiliteitsbedrijf Gent",253,"? parkeergarage Reep in Gent","2022-12-07T14:38:50+01:00","Reep","24/7","carPark","parking in LEZ",489,0
"8ca06791e8b735d7b80a281cbbfeb59b7b074940",64,1,"Mobiliteitsbedrijf Gent",91,"Ondergrondse parkeergarage Ramen in Gent","2022-12-07T14:38:50+01:00","Ramen","24/7","carPark","parking in LEZ",255,0
"f207badcf662fd07e378796011080835d3eb94c5",39,1,"Mobiliteitsbedrijf Gent",91,"Ondergrondse parkeergarage Tolhuis in Gent","2022-12-07T14:38:50+01:00","Tolhuis","24/7","offStreetParkingGround","parking in LEZ",150,0
